cores, tasks, nodes, edgep, objro, growf,  util, sched, mhigh, mlow,  cavg,  lavg
    5,    10,    50,   0.7,   0.3,   0.2,   3.0,     0,   000,  005,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   3.5,     0,   000,  005,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   4.0,     0,   000,  005,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   4.5,     0,   000,  005,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   5.0,     0,   000,  005,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   5.5,     0,   001,  004,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.2,   6.0,     0,   002,  003,2689.75,2160.61
    5,    10,    50,   0.7,   0.3,   0.3,    .5,     1,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   1.0,     1,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   1.5,     1,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   2.0,     1,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   2.5,     1,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   3.0,     0,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   3.5,     0,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   4.0,     0,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   4.5,     0,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   5.0,     0,   000,  005,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   5.5,     0,   001,  004,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.3,   6.0,     0,   002,  003,2694.46,2165.32
    5,    10,    50,   0.7,   0.3,   0.4,    .5,     1,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   1.0,     1,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   1.5,     1,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   2.0,     1,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   2.5,     1,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   3.0,     0,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   3.5,     0,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   4.0,     0,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   4.5,     0,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   5.0,     0,   000,  005,2699.16,2170.03
    5,    10,    50,   0.7,   0.3,   0.4,   5.5,     0,   001,  004,2699.16,2170.03
